Age,Main,Occupation,NumJobM,PayMale,NumJobF,PayFemale
40-49,Professional occupations,Professional occupations,639,42786,704,31648
50-59,Professional occupations,Professional occupations,483,41422,556,32335
60+,Professional occupations,Professional occupations,177,34547,126,22405
18-21,Professional occupations,"Science, research, engineering and technology professionals",x,,..,
22-29,Professional occupations,"Science, research, engineering and technology professionals",113,29624,31,28340
30-39,Professional occupations,"Science, research, engineering and technology professionals",259,40000,65,33026
40-49,Professional occupations,"Science, research, engineering and technology professionals",252,44000,53,36071
50-59,Professional occupations,"Science, research, engineering and technology professionals",177,42694,33,36969
60+,Professional occupations,"Science, research, engineering and technology professionals",53,38615,x,
18-21,Professional occupations,Teaching and educational professionals,:,,..,
22-29,Professional occupations,Teaching and educational professionals,40,27475,104,26293
30-39,Professional occupations,Teaching and educational professionals,115,37209,222,31985
40-49,Professional occupations,Teaching and educational professionals,121,41576,229,33520
50-59,Professional occupations,Teaching and educational professionals,100,41130,183,35426
60+,Professional occupations,Teaching and educational professionals,46,27595,46,22846
18-21,Sales and customer service occupations,Customer service occupations,x,,16,8515
22-29,Sales and customer service occupations,Customer service occupations,44,17278,57,16021
30-39,Sales and customer service occupations,Customer service occupations,41,21157,63,16693
40-49,Sales and customer service occupations,Customer service occupations,25,22084,56,17880
50-59,Sales and customer service occupations,Customer service occupations,18,21925,57,16930
60+,Sales and customer service occupations,Customer service occupations,8,14770,13,12517
18-21,Sales and customer service occupations,Sales and customer service occupations,72,7057,107,5834
22-29,Sales and customer service occupations,Sales and customer service occupations,179,14534,226,11655
30-39,Sales and customer service occupations,Sales and customer service occupations,133,17715,192,11149
40-49,Sales and customer service occupations,Sales and customer service occupations,88,18472,221,11325
50-59,Sales and customer service occupations,Sales and customer service occupations,66,17657,255,10541
60+,Sales and customer service occupations,Sales and customer service occupations,37,11993,106,7648
18-21,Sales and customer service occupations,Sales occupations,62,6905,92,5607
22-29,Sales and customer service occupations,Sales occupations,135,13584,169,10140
30-39,Sales and customer service occupations,Sales occupations,91,16144,129,9110
40-49,Sales and customer service occupations,Sales occupations,62,16620,165,10052
50-59,Sales and customer service occupations,Sales occupations,47,16090,198,9666
60+,Sales and customer service occupations,Sales occupations,29,11469,93,7270
18-21,Skilled trades occupations,Skilled agricultural and related trades,x,14055,:,
22-29,Skilled trades occupations,Skilled agricultural and related trades,16,17721,x,
30-39,Skilled trades occupations,Skilled agricultural and related trades,18,19000,x,14415
40-49,Skilled trades occupations,Skilled agricultural and related trades,22,20076,x,19471
50-59,Skilled trades occupations,Skilled agricultural and related trades,21,18703,x,
60+,Skilled trades occupations,Skilled agricultural and related trades,12,15895,x,
18-21,Skilled trades occupations,Skilled construction and building trades,9,13423,:,
22-29,Skilled trades occupations,Skilled construction and building trades,51,23275,x,21022
30-39,Skilled trades occupations,Skilled construction and building trades,64,26072,x,
40-49,Skilled trades occupations,Skilled construction and building trades,75,27110,x,
50-59,Skilled trades occupations,Skilled construction and building trades,57,27370,x,
60+,Skilled trades occupations,Skilled construction and building trades,26,24412,:,
18-21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",27,16674,x,
22-29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",156,25741,x,18743
30-39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",199,28963,x,27069
40-49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",236,30000,x,
50-59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",233,30369,x,26982
60+,Skilled trades occupations,"Skilled metal, electrical and electronic trades",84,27519,x,14362
18-21,Skilled trades occupations,Skilled trades occupations,48,15891,x,
22-29,Skilled trades occupations,Skilled trades occupations,281,22559,25,15604
30-39,Skilled trades occupations,Skilled trades occupations,358,25439,36,16784
40-49,Skilled trades occupations,Skilled trades occupations,398,27300,48,13777
50-59,Skilled trades occupations,Skilled trades occupations,354,27973,54,14722
60+,Skilled trades occupations,Skilled trades occupations,141,24569,22,13163
18-21,Skilled trades occupations,"Textiles, printing and other skilled trades",9,14388,x,
22-29,Skilled trades occupations,"Textiles, printing and other skilled trades",59,17564,18,15293
30-39,Skilled trades occupations,"Textiles, printing and other skilled trades",79,20277,26,15231
40-49,Skilled trades occupations,"Textiles, printing and other skilled trades",64,20760,39,12438
50-59,Skilled trades occupations,"Textiles, printing and other skilled trades",43,20661,46,14261
60+,Skilled trades occupations,"Textiles, printing and other skilled trades",19,18776,19,12797
