Giver	Year	Recipient	Points
United Kingdom	1983	Denmark	2
United Kingdom	1983	Israel	10
United Kingdom	1983	Austria	3
United Kingdom	1983	Belgium	4
United Kingdom	1984	Sweden	7
United Kingdom	1984	France	6
United Kingdom	1984	Spain	4
United Kingdom	1984	Ireland	8
United Kingdom	1984	Denmark	12
United Kingdom	1984	Netherlands	1
United Kingdom	1984	Yugoslavia	3
United Kingdom	1984	Germany	2
United Kingdom	1984	Turkey	5
United Kingdom	1984	Switzerland	10
United Kingdom	1985	Ireland	3
United Kingdom	1985	Finland	7
United Kingdom	1985	Spain	4
United Kingdom	1985	France	2
United Kingdom	1985	Turkey	8
United Kingdom	1985	Germany	1
United Kingdom	1985	Israel	5
United Kingdom	1985	Norway	12
United Kingdom	1985	Sweden	6
United Kingdom	1985	Austria	10
United Kingdom	1986	Luxembourg	8
United Kingdom	1986	Yugoslavia	7
United Kingdom	1986	Turkey	2
United Kingdom	1986	Spain	1
United Kingdom	1986	Switzerland	5
United Kingdom	1986	Belgium	10
United Kingdom	1986	Germany	12
United Kingdom	1986	Sweden	3
United Kingdom	1986	Denmark	6
United Kingdom	1986	Portugal	4
United Kingdom	1987	Israel	4
United Kingdom	1987	Belgium	8
United Kingdom	1987	Italy	1
United Kingdom	1987	Greece	5
United Kingdom	1987	Netherlands	3
United Kingdom	1987	Luxembourg	2
United Kingdom	1987	Germany	10
United Kingdom	1987	Cyprus	6
United Kingdom	1987	Denmark	7
United Kingdom	1987	Ireland	12
United Kingdom	1988	Sweden	2
United Kingdom	1988	Turkey	1
United Kingdom	1988	Netherlands	6
United Kingdom	1988	Israel	4
United Kingdom	1988	Switzerland	10
United Kingdom	1988	Ireland	3
United Kingdom	1988	Germany	5
United Kingdom	1988	Norway	12
United Kingdom	1988	Luxembourg	7
United Kingdom	1988	Yugoslavia	8
United Kingdom	1989	Israel	2
United Kingdom	1989	Netherlands	3
United Kingdom	1989	Sweden	4
United Kingdom	1989	Denmark	10
United Kingdom	1989	Spain	7
United Kingdom	1989	Cyprus	6
United Kingdom	1989	Switzerland	8
United Kingdom	1989	Greece	5
United Kingdom	1989	Germany	1
United Kingdom	1989	Yugoslavia	12
United Kingdom	1990	Spain	1
United Kingdom	1990	Netherlands	4
United Kingdom	1990	Luxembourg	3
United Kingdom	1990	Iceland	12
United Kingdom	1990	Germany	7
United Kingdom	1990	Yugoslavia	5
United Kingdom	1990	Portugal	2
United Kingdom	1990	Ireland	10
United Kingdom	1990	Sweden	6
United Kingdom	1990	Austria	8
United Kingdom	1991	Malta	7
United Kingdom	1991	Switzerland	8
United Kingdom	1991	Luxembourg	3
United Kingdom	1991	Sweden	12
United Kingdom	1991	France	6
United Kingdom	1991	Turkey	5
United Kingdom	1991	Ireland	4
United Kingdom	1991	Israel	10
United Kingdom	1991	Belgium	2
United Kingdom	1991	Spain	1
United Kingdom	1992	Spain	1
United Kingdom	1992	Israel	7
United Kingdom	1992	Iceland	12
United Kingdom	1992	Switzerland	4
United Kingdom	1992	Austria	10
United Kingdom	1992	Ireland	8
United Kingdom	1992	Denmark	3
United Kingdom	1992	Norway	5
United Kingdom	1992	Germany	6
United Kingdom	1992	Netherlands	2
United Kingdom	1993	Switzerland	10
United Kingdom	1993	Malta	6
United Kingdom	1993	Iceland	2
United Kingdom	1993	Austria	3
United Kingdom	1993	Portugal	1
United Kingdom	1993	France	4
United Kingdom	1993	Sweden	7
United Kingdom	1993	Ireland	12
United Kingdom	1993	Croatia	8
United Kingdom	1993	Cyprus	5
United Kingdom	1994	Ireland	10
United Kingdom	1994	Iceland	6
United Kingdom	1994	Portugal	8
United Kingdom	1994	Malta	1
United Kingdom	1994	Germany	7
United Kingdom	1994	Norway	4
United Kingdom	1994	Austria	3
United Kingdom	1994	Hungary	2
United Kingdom	1994	Russia	5
United Kingdom	1994	Poland	12
United Kingdom	1995	Norway	4
United Kingdom	1995	Austria	5
United Kingdom	1995	Spain	8
United Kingdom	1995	Turkey	2
United Kingdom	1995	France	1
United Kingdom	1995	Cyprus	3
United Kingdom	1995	Sweden	6
United Kingdom	1995	Slovenia	10
United Kingdom	1995	Israel	12
United Kingdom	1995	Malta	7
United Kingdom	1996	Turkey	6
United Kingdom	1996	Portugal	2
United Kingdom	1996	Cyprus	12
United Kingdom	1996	Croatia	4
United Kingdom	1996	Switzerland	3
United Kingdom	1996	Greece	7
United Kingdom	1996	Estonia	10
United Kingdom	1996	Norway	8
United Kingdom	1996	France	1
United Kingdom	1996	Belgium	5
United Kingdom	1997	Cyprus	5
United Kingdom	1997	Turkey	4
United Kingdom	1997	Ireland	12
United Kingdom	1997	Italy	3
United Kingdom	1997	Estonia	10
United Kingdom	1997	Sweden	7
United Kingdom	1997	Hungary	8
United Kingdom	1997	Denmark	2
United Kingdom	1997	Croatia	1
United Kingdom	1997	Iceland	6
United Kingdom	1998	Croatia	2
United Kingdom	1998	Israel	5
United Kingdom	1998	Germany	6
United Kingdom	1998	Malta	12
United Kingdom	1998	Ireland	8
United Kingdom	1998	Cyprus	3
United Kingdom	1998	Netherlands	10
United Kingdom	1998	Sweden	1
United Kingdom	1998	Belgium	7
United Kingdom	1998	Norway	4
United Kingdom	1999	Denmark	5
United Kingdom	1999	Netherlands	8
United Kingdom	1999	Iceland	10
United Kingdom	1999	Cyprus	2
United Kingdom	1999	Sweden	12
United Kingdom	1999	Ireland	4
United Kingdom	1999	Austria	7
United Kingdom	1999	Malta	6
United Kingdom	1999	Germany	1
United Kingdom	1999	Estonia	3
United Kingdom	2000	Estonia	4
United Kingdom	2000	Malta	2
United Kingdom	2000	Norway	3
United Kingdom	2000	Russia	8
United Kingdom	2000	Denmark	12
United Kingdom	2000	Germany	5
United Kingdom	2000	Sweden	6
United Kingdom	2000	Latvia	7
United Kingdom	2000	Ireland	10
United Kingdom	2000	Austria	1
United Kingdom	2001	Sweden	8
United Kingdom	2001	Lithuania	4
United Kingdom	2001	Ireland	5
United Kingdom	2001	Spain	3
United Kingdom	2001	France	6
United Kingdom	2001	Germany	2
United Kingdom	2001	Estonia	12
United Kingdom	2001	Malta	1
United Kingdom	2001	Greece	7
United Kingdom	2001	Denmark	10
United Kingdom	2002	Cyprus	3
United Kingdom	2002	Spain	2
United Kingdom	2002	Estonia	7
United Kingdom	2002	Israel	5
United Kingdom	2002	Sweden	1
United Kingdom	2002	Belgium	4
United Kingdom	2002	France	10
United Kingdom	2002	Malta	12
United Kingdom	2002	Slovenia	6
United Kingdom	2002	Latvia	8
United Kingdom	2003	Austria	8
United Kingdom	2003	Ireland	12
United Kingdom	2003	Turkey	7
United Kingdom	2003	Germany	4
United Kingdom	2003	Netherlands	1
United Kingdom	2003	Norway	6
United Kingdom	2003	Poland	2
United Kingdom	2003	Belgium	5
United Kingdom	2003	Estonia	3
United Kingdom	2003	Sweden	10
United Kingdom	2004	Serbia & Montenegro	3
United Kingdom	2004	Malta	2
United Kingdom	2004	Germany	4
United Kingdom	2004	Albania	1
United Kingdom	2004	Ukraine	5
United Kingdom	2004	Greece	12
United Kingdom	2004	Ireland	7
United Kingdom	2004	Cyprus	10
United Kingdom	2004	Turkey	6
United Kingdom	2004	Sweden	8
United Kingdom	2005	Malta	10
United Kingdom	2005	Norway	5
United Kingdom	2005	Turkey	1
United Kingdom	2005	Moldova	2
United Kingdom	2005	Cyprus	3
United Kingdom	2005	Israel	7
United Kingdom	2005	Denmark	8
United Kingdom	2005	Greece	12
United Kingdom	2005	Bosnia-Herzegovina	4
United Kingdom	2005	Latvia	6
United Kingdom	2006	Latvia	2
United Kingdom	2006	Germany	5
United Kingdom	2006	Russia	1
United Kingdom	2006	Romania	6
United Kingdom	2006	Lithuania	10
United Kingdom	2006	Greece	7
United Kingdom	2006	Finland	12
United Kingdom	2006	Ireland	8
United Kingdom	2006	Sweden	4
United Kingdom	2006	Turkey	3
United Kingdom	2007	Ukraine	8
United Kingdom	2007	Russia	6
United Kingdom	2007	Turkey	12
United Kingdom	2007	Bulgaria	5
United Kingdom	2007	Greece	10
United Kingdom	2007	Hungary	2
United Kingdom	2007	Latvia	4
United Kingdom	2007	Sweden	7
United Kingdom	2007	Germany	1
United Kingdom	2007	Lithuania	3
United Kingdom	2008	Poland	4
United Kingdom	2008	Iceland	6
United Kingdom	2008	Turkey	8
United Kingdom	2008	Latvia	10
United Kingdom	2008	Denmark	3
United Kingdom	2008	Ukraine	5
United Kingdom	2008	France	2
United Kingdom	2008	Greece	12
United Kingdom	2008	Spain	1
United Kingdom	2008	Norway	7
United Kingdom	2009	Lithuania	4
United Kingdom	2009	France	1
United Kingdom	2009	Iceland	8
United Kingdom	2009	Greece	5
United Kingdom	2009	Azerbaijan	3
United Kingdom	2009	Malta	6
United Kingdom	2009	Germany	7
United Kingdom	2009	Turkey	12
United Kingdom	2009	Norway	10
United Kingdom	2009	Ukraine	2
United Kingdom	2010	Ireland	7
United Kingdom	2010	Greece	12
United Kingdom	2010	Turkey	10
United Kingdom	2010	Albania	1
United Kingdom	2010	Ukraine	5
United Kingdom	2010	France	2
United Kingdom	2010	Romania	8
United Kingdom	2010	Germany	4
United Kingdom	2010	Israel	3
United Kingdom	2010	Denmark	6
Albania	2004	France	1
Albania	2004	Serbia & Montenegro	7
Albania	2004	Malta	3
Albania	2004	Germany	2
Albania	2004	Ukraine	5
Albania	2004	Bosnia-Herzegovina	10
Albania	2004	Macedonia	6
Albania	2004	Greece	12
Albania	2004	Turkey	8
Albania	2004	Sweden	4
Albania	2005	Malta	4
Albania	2005	Romania	5
Albania	2005	Turkey	8
Albania	2005	Cyprus	7
Albania	2005	Israel	3
Albania	2005	Serbia & Montenegro	6
Albania	2005	Macedonia	10
Albania	2005	Croatia	2
Albania	2005	Greece	12
Albania	2005	France	1
Albania	2006	Spain	6
Albania	2006	Malta	1
Albania	2006	Germany	5
Albania	2006	Russia	4
Albania	2006	Macedonia	3
Albania	2006	Romania	2
Albania	2006	Bosnia-Herzegovina	12
Albania	2006	Greece	8
Albania	2006	Sweden	10
Albania	2006	Turkey	7
Albania	2007	Serbia	1
Albania	2007	Turkey	10
Albania	2007	Belarus	2
Albania	2007	Greece	7
Albania	2007	Bosnia-Herzegovina	8
Albania	2007	Macedonia	3
Albania	2007	Germany	6
Albania	2007	Spain	12
Albania	2007	France	4
Albania	2007	Ireland	5
Albania	2008	Armenia	2
Albania	2008	Israel	4
Albania	2008	Turkey	10
Albania	2008	Sweden	3
Albania	2008	Ukraine	8
Albania	2008	Greece	12
Albania	2008	Spain	1
Albania	2008	Serbia	5
Albania	2008	Russia	6
Albania	2008	Norway	7
Albania	2009	France	2
Albania	2009	Sweden	1
Albania	2009	Iceland	6
Albania	2009	Greece	12
Albania	2009	Azerbaijan	4
Albania	2009	Bosnia-Herzegovina	5
Albania	2009	Germany	3
Albania	2009	Turkey	10
Albania	2009	Norway	7
Albania	2009	United Kingdom	8
Albania	2010	Spain	7
Albania	2010	Bosnia-Herzegovina	6
Albania	2010	Serbia	3
Albania	2010	Greece	12
Albania	2010	United Kingdom	1
Albania	2010	Turkey	8
Albania	2010	Romania	5
Albania	2010	Germany	10
Albania	2010	Israel	4
Albania	2010	Denmark	2
Armenia	2006	Norway	1
Armenia	2006	Russia	12
Armenia	2006	Macedonia	7
Armenia	2006	Romania	4
Armenia	2006	Bosnia-Herzegovina	5
Armenia	2006	Greece	8
Armenia	2006	Ukraine	10
Armenia	2006	France	2
Armenia	2006	Ireland	3
Armenia	2006	Sweden	6
Armenia	2007	Serbia	7
Armenia	2007	Ukraine	6
Armenia	2007	Russia	12
Armenia	2007	Bulgaria	4
Armenia	2007	Belarus	10
Armenia	2007	Greece	8
Armenia	2007	Moldova	3
Armenia	2007	Bosnia-Herzegovina	1
Armenia	2007	Georgia	5
Armenia	2007	France	2
Armenia	2008	Israel	6
Armenia	2008	Croatia	2
Armenia	2008	Georgia	10
Armenia	2008	Ukraine	5
Armenia	2008	France	4
Armenia	2008	Greece	8
Armenia	2008	Spain	1
Armenia	2008	Serbia	3
Armenia	2008	Russia	12
Armenia	2008	Norway	7
Armenia	2009	France	6
Armenia	2009	Iceland	5
Armenia	2009	Greece	10
Armenia	2009	Russia	12
Armenia	2009	Azerbaijan	1
Armenia	2009	Moldova	2
Armenia	2009	Turkey	4
Armenia	2009	Norway	8
Armenia	2009	Ukraine	3
Armenia	2009	United Kingdom	7
Armenia	2010	Spain	7
Armenia	2010	Norway	2
Armenia	2010	Greece	3
Armenia	2010	Georgia	12
Armenia	2010	Ukraine	8
Armenia	2010	France	6
Armenia	2010	Romania	1
Armenia	2010	Russia	10
Armenia	2010	Portugal	4
Armenia	2010	Denmark	5
Austria	1976	United Kingdom	10
Austria	1976	Switzerland	8
Austria	1976	Israel	6
Austria	1976	Belgium	3
Austria	1976	Ireland	2
Austria	1976	Netherlands	4
Austria	1976	Finland	7
Austria	1976	Italy	1
Austria	1976	Monaco	5
Austria	1976	France	12
Austria	1977	Ireland	5
Austria	1977	Monaco	8
Austria	1977	Germany	2
Austria	1977	United Kingdom	12
Austria	1977	Greece	4
Austria	1977	Israel	3
Austria	1977	Switzerland	10
Austria	1977	Spain	1
Austria	1977	Finland	6
Austria	1977	France	7
Austria	1978	Ireland	6
Austria	1978	France	12
Austria	1978	Spain	7
Austria	1978	United Kingdom	5
Austria	1978	Switzerland	10
Austria	1978	Belgium	4
Austria	1978	Monaco	1
Austria	1978	Greece	3
Austria	1978	Denmark	2
Austria	1978	Israel	8
Austria	1979	Portugal	7
Austria	1979	Denmark	3
Austria	1979	Greece	2
Austria	1979	Switzerland	12
Austria	1979	Israel	8
Austria	1979	France	5
Austria	1979	Netherlands	4
Austria	1979	Norway	1
Austria	1979	United Kingdom	6
Austria	1979	Spain	10
Austria	1980	Turkey	3
Austria	1980	Greece	5
Austria	1980	Luxembourg	1
Austria	1980	Italy	2
Austria	1980	Switzerland	6
Austria	1980	Germany	8
Austria	1980	United Kingdom	7
Austria	1980	Netherlands	12
Austria	1980	Ireland	10
Austria	1980	Spain	4
Austria	1981	Germany	5
Austria	1981	Luxembourg	10
Austria	1981	Israel	8
Austria	1981	France	12
Austria	1981	Netherlands	3
Austria	1981	Ireland	7
Austria	1981	United Kingdom	4
Austria	1981	Belgium	1
Austria	1981	Greece	6
Austria	1981	Switzerland	2
Austria	1982	Luxembourg	2
Austria	1982	Norway	6
Austria	1982	United Kingdom	12
Austria	1982	Turkey	3
Austria	1982	Switzerland	10
Austria	1982	Cyprus	5
Austria	1982	Sweden	8
Austria	1982	Belgium	4
Austria	1982	Israel	7
Austria	1982	Germany	1
Austria	1983	Norway	3
Austria	1983	United Kingdom	10
Austria	1983	Sweden	8
Austria	1983	Switzerland	6
Austria	1983	Finland	2
Austria	1983	Netherlands	4
Austria	1983	Yugoslavia	1
Austria	1983	Germany	7
Austria	1983	Israel	12
Austria	1983	Luxembourg	5
Austria	1984	Sweden	12
Austria	1984	France	8
Austria	1984	Spain	6
Austria	1984	United Kingdom	2
Austria	1984	Belgium	3
Austria	1984	Ireland	10
Austria	1984	Denmark	4
Austria	1984	Germany	1
Austria	1984	Finland	5
Austria	1984	Italy	7
Austria	1985	Ireland	10
Austria	1985	Denmark	5
Austria	1985	France	3
Austria	1985	Israel	7
Austria	1985	Italy	6
Austria	1985	Norway	12
Austria	1985	United Kingdom	2
Austria	1985	Switzerland	1
Austria	1985	Sweden	4
Austria	1985	Luxembourg	8
Austria	1986	Luxembourg	10
Austria	1986	Yugoslavia	1
Austria	1986	United Kingdom	3
Austria	1986	Turkey	2
Austria	1986	Spain	7
Austria	1986	Switzerland	4
Austria	1986	Ireland	12
Austria	1986	Belgium	6
Austria	1986	Germany	8
Austria	1986	Sweden	5
Austria	1987	Norway	4
Austria	1987	Israel	1
Austria	1987	Belgium	3
Austria	1987	Italy	6
Austria	1987	Netherlands	2
Austria	1987	United Kingdom	5
Austria	1987	Germany	10
Austria	1987	Denmark	7
Austria	1987	Ireland	12
Austria	1987	Yugoslavia	8
Austria	1988	United Kingdom	10
Austria	1988	Spain	8
Austria	1988	Israel	2
Austria	1988	Ireland	6
Austria	1988	Denmark	12
Austria	1988	Norway	3
Austria	1988	Luxembourg	1
Austria	1988	Italy	5
Austria	1988	France	7
Austria	1988	Yugoslavia	4
Austria	1989	Netherlands	4
Austria	1989	United Kingdom	8
Austria	1989	Portugal	6
Austria	1989	Sweden	12
Austria	1989	Denmark	7
Austria	1989	Finland	3
Austria	1989	France	5
Austria	1989	Cyprus	2
Austria	1989	Switzerland	1
Austria	1989	Yugoslavia	10
Austria	1990	Spain	8
Austria	1990	Belgium	4
Austria	1990	Luxembourg	5
Austria	1990	United Kingdom	1
Austria	1990	Iceland	10
Austria	1990	Denmark	6
Austria	1990	Germany	3
Austria	1990	France	2
Austria	1990	Ireland	12
Austria	1990	Italy	7
Austria	1991	Malta	4
Austria	1991	Greece	2
Austria	1991	Switzerland	8
Austria	1991	Luxembourg	5
Austria	1991	Sweden	10
Austria	1991	France	12
Austria	1991	Ireland	1
Austria	1991	Belgium	3
Austria	1991	Spain	7
Austria	1991	United Kingdom	6
Austria	1992	Spain	2
Austria	1992	Israel	1
Austria	1992	Greece	4
Austria	1992	Malta	8
Austria	1992	Iceland	7
Austria	1992	United Kingdom	12
Austria	1992	Ireland	10
Austria	1992	Denmark	3
Austria	1992	Italy	6
Austria	1992	Netherlands	5
Austria	1993	Switzerland	6
Austria	1993	Malta	4
Austria	1993	Iceland	1
Austria	1993	Portugal	5
Austria	1993	France	7
Austria	1993	Sweden	10
Austria	1993	Ireland	8
Austria	1993	United Kingdom	12
Austria	1993	Netherlands	3
Austria	1993	Spain	2
Austria	1994	Sweden	5
Austria	1994	Ireland	10
Austria	1994	Iceland	3
Austria	1994	United Kingdom	1
Austria	1994	Netherlands	4
Austria	1994	Germany	2
Austria	1994	Hungary	8
Austria	1994	Russia	6
Austria	1994	Poland	12
Austria	1994	France	7
Austria	1995	Iceland	4
Austria	1995	France	10
Austria	1995	Belgium	1
Austria	1995	United Kingdom	12
Austria	1995	Sweden	8
Austria	1995	Denmark	7
Austria	1995	Slovenia	3
Austria	1995	Israel	6
Austria	1995	Malta	2
Austria	1995	Greece	5
Austria	1996	United Kingdom	3
Austria	1996	Portugal	1
Austria	1996	Cyprus	2
Austria	1996	Estonia	5
Austria	1996	Norway	8
Austria	1996	Netherlands	12
Austria	1996	Ireland	7
Austria	1996	Iceland	6
Austria	1996	Poland	4
Austria	1996	Sweden	10
Austria	1997	Turkey	7
Austria	1997	Ireland	10
Austria	1997	Italy	1
Austria	1997	Germany	3
Austria	1997	Poland	8
Austria	1997	Estonia	6
Austria	1997	Bosnia-Herzegovina	4
Austria	1997	Russia	5
Austria	1997	United Kingdom	12
Austria	1997	Iceland	2
Austria	1999	Croatia	8
Austria	1999	Denmark	5
Austria	1999	Netherlands	4
Austria	1999	Iceland	2
Austria	1999	Sweden	6
Austria	1999	Israel	1
Austria	1999	Malta	7
Austria	1999	Germany	10
Austria	1999	Bosnia-Herzegovina	12
Austria	1999	Estonia	3
Austria	2000	Estonia	3
Austria	2000	Malta	2
Austria	2000	Russia	7
Austria	2000	Denmark	10
Austria	2000	Germany	12
Austria	2000	Switzerland	1
Austria	2000	Croatia	6
Austria	2000	Latvia	8
Austria	2000	Turkey	5
Austria	2000	Ireland	4
Austria	2002	United Kingdom	12
Austria	2002	Croatia	6
Austria	2002	Estonia	3
Austria	2002	Switzerland	5
Austria	2002	Sweden	4
Austria	2002	Bosnia-Herzegovina	7
Austria	2002	Germany	1
Austria	2002	Malta	8
Austria	2002	Slovenia	2
Austria	2002	Latvia	10
Austria	2003	Turkey	12
Austria	2003	Bosnia-Herzegovina	7
Austria	2003	Croatia	5
Austria	2003	Germany	1
Austria	2003	Russia	8
Austria	2003	Norway	2
Austria	2003	Poland	10
Austria	2003	Belgium	4
Austria	2003	Romania	6
Austria	2003	Sweden	3
Austria	2004	Serbia & Montenegro	12
Austria	2004	Germany	10
Austria	2004	Albania	5
Austria	2004	Ukraine	4
Austria	2004	Croatia	3
Austria	2004	Bosnia-Herzegovina	7
Austria	2004	Greece	2
Austria	2004	Cyprus	6
Austria	2004	Turkey	8
Austria	2004	Sweden	1
Austria	2005	Malta	5
Austria	2005	Romania	6
Austria	2005	Turkey	7
Austria	2005	Moldova	2
Austria	2005	Albania	3
Austria	2005	Israel	1
Austria	2005	Serbia & Montenegro	12
Austria	2005	Croatia	8
Austria	2005	Greece	4
Austria	2005	Bosnia-Herzegovina	10
Austria	2007	Serbia	12
Austria	2007	Ukraine	4
Austria	2007	Turkey	10
Austria	2007	Bulgaria	6
Austria	2007	Armenia	5
Austria	2007	Hungary	2
Austria	2007	Bosnia-Herzegovina	8
Austria	2007	Romania	3
Austria	2007	Macedonia	1
Austria	2007	Germany	7
Azerbaijan	2008	Albania	1
Azerbaijan	2008	Bosnia-Herzegovina	3
Azerbaijan	2008	Israel	7
Azerbaijan	2008	Turkey	12
Azerbaijan	2008	Georgia	4
Azerbaijan	2008	Ukraine	10
Azerbaijan	2008	Greece	6
Azerbaijan	2008	Serbia	2
Azerbaijan	2008	Russia	8
Azerbaijan	2008	Norway	5
Azerbaijan	2009	Lithuania	1
Azerbaijan	2009	Croatia	5
Azerbaijan	2009	Russia	6
Azerbaijan	2009	Bosnia-Herzegovina	2
Azerbaijan	2009	Moldova	7
Azerbaijan	2009	Estonia	4
Azerbaijan	2009	Turkey	12
Azerbaijan	2009	Norway	8
Azerbaijan	2009	Ukraine	10
Azerbaijan	2009	Romania	3
Azerbaijan	2010	Moldova	6
Azerbaijan	2010	United Kingdom	2
Azerbaijan	2010	Georgia	8
Azerbaijan	2010	Turkey	12
Azerbaijan	2010	Ukraine	10
Azerbaijan	2010	Romania	7
Azerbaijan	2010	Russia	3
Azerbaijan	2010	Germany	1
Azerbaijan	2010	Israel	5
Azerbaijan	2010	Denmark	4
Belarus	2004	Spain	2
Belarus	2004	Serbia & Montenegro	7
Belarus	2004	Ukraine	10
Belarus	2004	Croatia	5
Belarus	2004	Russia	12
Belarus	2004	Greece	6
Belarus	2004	United Kingdom	1
Belarus	2004	Cyprus	8
Belarus	2004	Turkey	3
Belarus	2004	Sweden	4
Belarus	2005	Hungary	2
Belarus	2005	Malta	5
Belarus	2005	Romania	1
Belarus	2005	Norway	4
Belarus	2005	Moldova	7
Belarus	2005	Israel	8
Belarus	2005	Serbia & Montenegro	3
Belarus	2005	Russia	12
Belarus	2005	Switzerland	10
Belarus	2005	Latvia	6
Belarus	2006	Norway	1
Belarus	2006	Russia	12
Belarus	2006	Romania	3
Belarus	2006	Bosnia-Herzegovina	4
Belarus	2006	Lithuania	6
Belarus	2006	Greece	2
Belarus	2006	Finland	7
Belarus	2006	Ukraine	10
Belarus	2006	Sweden	5
Belarus	2006	Armenia	8
Belarus	2007	Serbia	7
Belarus	2007	Ukraine	10
Belarus	2007	Russia	12
Belarus	2007	Greece	3
Belarus	2007	Armenia	5
Belarus	2007	Moldova	8
Belarus	2007	Georgia	6
Belarus	2007	Slovenia	4
Belarus	2007	Finland	1
Belarus	2007	Lithuania	2
Belarus	2008	Armenia	7
Belarus	2008	Israel	4
Belarus	2008	Turkey	3
Belarus	2008	Georgia	6
Belarus	2008	Ukraine	10
Belarus	2008	Azerbaijan	8
Belarus	2008	Greece	2
Belarus	2008	Serbia	1
Belarus	2008	Russia	12
Belarus	2008	Norway	5
Belarus	2009	France	7
Belarus	2009	Iceland	2
Belarus	2009	Greece	5
Belarus	2009	Armenia	1
Belarus	2009	Russia	8
Belarus	2009	Azerbaijan	10
Belarus	2009	Estonia	4
Belarus	2009	Norway	12
Belarus	2009	Ukraine	6
Belarus	2009	United Kingdom	3
Belarus	2010	Azerbaijan	6
Belarus	2010	Moldova	4
Belarus	2010	Georgia	7
Belarus	2010	Turkey	3
Belarus	2010	Iceland	2
Belarus	2010	Ukraine	10
Belarus	2010	Romania	1
Belarus	2010	Russia	12
Belarus	2010	Armenia	5
Belarus	2010	Israel	8
Belgium	1975	Netherlands	3
Belgium	1975	Ireland	12
Belgium	1975	France	2
Belgium	1975	Switzerland	8
Belgium	1975	Yugoslavia	5
Belgium	1975	United Kingdom	10
Belgium	1975	Malta	7
Belgium	1975	Israel	1
Belgium	1975	Spain	4
Belgium	1975	Italy	6
Belgium	1976	United Kingdom	12
Belgium	1976	Switzerland	7
Belgium	1976	Germany	1
Belgium	1976	Israel	5
Belgium	1976	Luxembourg	6
Belgium	1976	Netherlands	4
Belgium	1976	Greece	2
Belgium	1976	Austria	3
Belgium	1976	Monaco	8
Belgium	1976	France	10
Belgium	1977	Ireland	3
Belgium	1977	Monaco	2
Belgium	1977	Netherlands	10
Belgium	1977	Norway	5
Belgium	1977	United Kingdom	12
Belgium	1977	Greece	6
Belgium	1977	Israel	1
Belgium	1977	Switzerland	8
Belgium	1977	Spain	7
Belgium	1977	France	4
